"filename", "language", "XML", "HTML", "C#", "Markdown", "Python", "Batch", "PowerShell", "Shell Script", "Properties", "CSS", "C++", "JSON", "reStructuredText", "JavaScript", "Visual Basic", "comment", "blank", "total"
"f:\VS 2022\repos\IDE\bin\Debug\Config\Runners\test.icbconfig", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"f:\VS 2022\repos\IDE\bin\Debug\Languages\en-US\LAC.html", "HTML", 0, 163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 163
"f:\VS 2022\repos\IDE\bin\Debug\Languages\en-US\LAC.relang", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"f:\VS 2022\repos\IDE\bin\Debug\Languages\en-US\Settings.relang", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 3
"f:\VS 2022\repos\IDE\bin\Debug\Languages\en-US\cc.relang", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 10
"f:\VS 2022\repos\IDE\bin\Debug\Languages\en-US\errMsgBox.relang", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"f:\VS 2022\repos\IDE\bin\Debug\Languages\en-US\main.relang", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 3, 82
"f:\VS 2022\repos\IDE\bin\Debug\Languages\en-US\newfile.relang", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"f:\VS 2022\repos\IDE\bin\Debug\Languages\en-US\thanks.relang", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"f:\VS 2022\repos\IDE\bin\Debug\Languages\ja-JP\LAC.html", "HTML", 0, 163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 163
"f:\VS 2022\repos\IDE\bin\Debug\Languages\ja-JP\LAC.relang", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"f:\VS 2022\repos\IDE\bin\Debug\Languages\ja-JP\Settings.relang", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 1, 29
"f:\VS 2022\repos\IDE\bin\Debug\Languages\ja-JP\cc.relang", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 10
"f:\VS 2022\repos\IDE\bin\Debug\Languages\ja-JP\errMsgBox.relang", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"f:\VS 2022\repos\IDE\bin\Debug\Languages\ja-JP\main.relang", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 3, 82
"f:\VS 2022\repos\IDE\bin\Debug\Languages\ja-JP\newfile.relang", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"f:\VS 2022\repos\IDE\bin\Debug\Languages\ja-JP\thanks.relang", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"f:\VS 2022\repos\IDE\bin\Debug\Languages\zh-CN\LAC.html", "HTML", 0, 163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 163
"f:\VS 2022\repos\IDE\bin\Debug\Languages\zh-CN\LAC.relang", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"f:\VS 2022\repos\IDE\bin\Debug\Languages\zh-CN\Settings.relang", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 1, 30
"f:\VS 2022\repos\IDE\bin\Debug\Languages\zh-CN\cc.relang", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 10
"f:\VS 2022\repos\IDE\bin\Debug\Languages\zh-CN\errMsgBox.relang", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"f:\VS 2022\repos\IDE\bin\Debug\Languages\zh-CN\main.bak.relang", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 10, 0, 40
"f:\VS 2022\repos\IDE\bin\Debug\Languages\zh-CN\main.relang", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 4, 83
"f:\VS 2022\repos\IDE\bin\Debug\Languages\zh-CN\newfile.relang", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"f:\VS 2022\repos\IDE\bin\Debug\Languages\zh-CN\thanks.relang", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"f:\VS 2022\repos\IDE\bin\Debug\Languages\zh-TD\LAC.html", "HTML", 0, 163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 163
"f:\VS 2022\repos\IDE\bin\Debug\Languages\zh-TD\LAC.relang", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"f:\VS 2022\repos\IDE\bin\Debug\Languages\zh-TD\Settings.relang", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 3, 31
"f:\VS 2022\repos\IDE\bin\Debug\Languages\zh-TD\cc.relang", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 10
"f:\VS 2022\repos\IDE\bin\Debug\Languages\zh-TD\errMsgBox.relang", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"f:\VS 2022\repos\IDE\bin\Debug\Languages\zh-TD\main.relang", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 3, 83
"f:\VS 2022\repos\IDE\bin\Debug\Languages\zh-TD\newfile.relang", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
